user_id,first_name,last_name,email,user_password,address,phone,registration_date
1,John,Doe,john.doe1@example.com,123,123 Main St,123-456-7890,1/1/2023 10:00
2,Jane,Smith,jane.smith2@example.com,456,456 Elm St,123-555-7890,2/15/2023 14:30
3,Bob,Johnson,bob.johnson3@example.com,789,789 Oak St,123-666-7890,3/10/2023 8:45
4,Emily,Davis,emily.davis4@example.com,321,321 Maple St,123-777-7890,4/20/2023 12:00
5,Michael,Brown,michael.brown5@example.com,654,654 Pine St,123-888-7890,5/30/2023 16:15
6,Sarah,Wilson,sarah.wilson6@example.com,987,987 Cedar St,123-999-7890,6/25/2023 9:45
7,David,Taylor,david.taylor7@example.com,111,111 Birch St,123-444-7890,7/12/2023 11:30
8,Laura,Anderson,laura.anderson8@example.com,222,222 Spruce St,123-555-7890,8/18/2023 13:00
9,Chris,Thomas,chris.thomas9@example.com,333,333 Elm St,123-666-7890,9/5/2023 14:45
10,Jessica,Moore,jessica.moore10@example.com,444,444 Willow St,123-777-7890,10/10/2023 8:30
11,Daniel,Martin,daniel.martin11@example.com,555,555 Oak St,123-888-7890,11/15/2023 12:00
12,Amy,Jackson,amy.jackson12@example.com,666,666 Pine St,123-999-7890,12/1/2023 10:45
13,James,White,james.white13@example.com,777,777 Cedar St,123-444-7890,1/1/2024 9:00
14,Linda,Harris,linda.harris14@example.com,888,888 Maple St,123-555-7890,2/15/2024 13:15
15,Robert,Clark,robert.clark15@example.com,999,999 Birch St,123-666-7890,3/10/2024 11:30
16,Patricia,Hall,patricia.hall16@example.com,1234,1234 Willow St,123-777-7890,4/20/2024 15:00
17,Mark,Young,mark.young17@example.com,5678,5678 Spruce St,123-888-7890,5/30/2024 16:30
18,Elizabeth,King,elizabeth.king18@example.com,9012,9012 Elm St,123-999-7890,6/25/2024 9:15
19,Steven,Wright,steven.wright19@example.com,3456,3456 Oak St,123-444-7890,7/12/2024 11:45
20,Mary,Lopez,mary.lopez20@example.com,7890,7890 Pine St,123-555-7890,8/18/2024 14:00
21,Kevin,Baker,kevin.baker21@example.com,101,123 Ash St,123-456-7890,1/1/2024 9:00
22,Laura,Gonzalez,laura.gonzalez22@example.com,202,456 Oak St,123-555-7890,1/2/2024 9:00
23,Jason,Murphy,jason.murphy23@example.com,303,789 Maple St,123-666-7890,1/3/2024 9:00
24,Kimberly,Gray,kimberly.gray24@example.com,404,123 Pine St,123-777-7890,1/4/2024 9:00
25,Brian,James,brian.james25@example.com,505,456 Cedar St,123-888-7890,1/5/2024 9:00
26,Rebecca,Wright,rebecca.wright26@example.com,606,789 Spruce St,123-999-7890,1/6/2024 9:00
27,Eric,Mitchell,eric.mitchell27@example.com,707,123 Birch St,123-444-7890,1/7/2024 9:00
28,Melissa,Perez,melissa.perez28@example.com,808,456 Willow St,123-555-7890,1/8/2024 9:00
